Group,description,experiment,shock,treatment,treatmentEMA,cultivation,cultivation_day,person,cultivation_media,bile_acids,isolation,DNAconcentration,aliquote
t5DEt70,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,5,UM,liquid,no,PowerFecal,105.382
t5DEt70Z,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,5,UM,liquid,yes,PowerFecal,0.79
t5DTZ30,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,5,TZ,liquid,no,PowerFecal,7.091
t5DTZ30Z,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,5,TZ,liquid,yes,PowerFecal,4.256
t5DTZ60,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,5,TZ,liquid,no,PowerFecal,60.889
t5DTZ60Z,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,5,TZ,liquid,yes,PowerFecal,1.99
t5DTZEt,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,5,TZ,liquid,no,PowerFecal,40.331
t5DTZEtZ,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,5,TZ,liquid,yes,PowerFecal,2.15
t5DUM30,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,5,UM,liquid,no,PowerFecal,17.824
t5DUM30Z,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,5,UM,liquid,yes,PowerFecal,3.506
t5DUM60,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,5,UM,liquid,no,PowerFecal,43.923
t5DUM60Z,temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,5,UM,liquid,yes,PowerFecal,2.258
t5DUMEt,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,5,UM,liquid,no,PowerFecal,14.816
t5DUMEtZ,ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,5,UM,liquid,yes,PowerFecal,1.2
t7DEt70,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,7,UM,liquid,no,PowerFecal,26.953
t7DEt70Z,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,7,UM,liquid,yes,PowerFecal,4.286
t7DTZ30,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,7,TZ,liquid,no,PowerFecal,30.453
t7DTZ30Z,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,7,TZ,liquid,yes,PowerFecal,1.641
t7DTZ60,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,7,TZ,liquid,no,PowerFecal,19.028
t7DTZ60Z,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,7,TZ,liquid,yes,PowerFecal,3.425
t7DTZEt,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,7,TZ,liquid,no,PowerFecal,19.859
t7DTZEtZ,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,7,TZ,liquid,yes,PowerFecal,1.193
t7DUM30,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,7,UM,liquid,no,PowerFecal,44.855
t7DUM30Z,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,7,UM,liquid,yes,PowerFecal,1.404
t7DUM60,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,7,UM,liquid,no,PowerFecal,22.009
t7DUM60Z,temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,7,UM,liquid,yes,PowerFecal,0.932
t7DUMEt,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,7,UM,liquid,no,PowerFecal,18.845
t7DUMEtZ,ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,7,UM,liquid,yes,PowerFecal,1.567
TZ,microbiota,3,Non-treated,none,0,no,0,TZ,without,no,PowerFecal,61.58
UM,microbiota,3,Non-treated,none,0,no,0,UM,without,no,PowerFecal,59.76
